animal,Family,Subfamily,Tribe,Genus,type,caste.number,caste.number.ref,colony.size,colony.size.ref,queen.mating.frequency.original,queen.number.continuous,queen.number.binary,Supercolonial.Helantera.review_no.stringent.nonstringent,social.parasite.Antwiki_no.yes,clonal,hybridisation,Taxonomic_info.Antcat.registered_undescribed.species_Antcat.unregistered_incertae.sedis._subspecies,Min_size,Max_size,Raw_Data_all_workers,Sample_size_all_workers,Queen_HW_mean,Queen_HW_mean.1,Sample_size_queen,Raw_data_queen
Meranoplus_bicolor,NA,NA,NA,NA,ant,1,"Oster & Wilson, 1978; Blanchard & Moreau, 2017",NA,,,1,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
Meranoplus_spinosus,Formicidae,Myrmicinae,Meranoplini,Meranoplus,ant,1,"Oster & Wilson, 1978; Blanchard & Moreau, 2017",150,"Holldobler & Wilson, 1990",,NA,NA,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA
Mesoponera_caffraria,Formicidae,Ponerinae,Ponerini,Mesoponera - synonymous with Pachycondyla_caffraria,ant,1,"Oster & Wilson, 1978; Blanchard & Moreau, 2017",25,"Villet, 1990",,1,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA
Messor_arenarius,Formicidae,Myrmicinae,Pheidolini,Messor,ant,2,"Retana & Cerda, 1994; Steinberger et al., 1991; Saar et al., 2018",300,"Saar et al., 2018",,1,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA
Messor_barbarus,Formicidae,Myrmicinae,Pheidolini,Messor,ant,1,"Holldobler&Wilson, 1990; Heredia & Detrain, 2000; Bernadou et al., 2016",8000,"Beckers et al., 1989",,1,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA
Messor_bouvieri,Formicidae,Myrmicinae,Pheidolini,Messor,ant,1,"Retana & Cerda, 1994; Heredia & Detrain, 2000",NA,,,NA,NA,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA
Messor_buettikeri,NA,NA,NA,NA,ant,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA
Messor_capitatus,Formicidae,Myrmicinae,Pheidolini,Messor,ant,2,"Holldobler&Wilson, 1990; Retana & Cerda, 1994",3500,"Sanders, personal communication",,1,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA
Messor_ceresis,NA,NA,NA,NA,ant,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA
Messor_crawleyi,NA,NA,NA,NA,ant,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA
Messor_ebeninus,Formicidae,Myrmicinae,Pheidolini,Messor,ant,NA,,59676.5,"Steinberger et al., 1991; Warburg et al., 2017",,1,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA
Messor_foreli,NA,NA,NA,NA,ant,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA
Messor_galla,NA,NA,NA,NA,ant,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA
